,strAQI,strAreaCode,strAreaName,strHourAvg,strItemCode,strItemName,strLatitude,strLevel,strLongitued,strPCode,strPName,strPollutants,strRemark,strSTA,strStCode,strStName,strSubID,strValueAvg
0,,370102,历下区,南_1,130,风向,36.643056,,117.078889,,经济学院,,,,,历下区,364,南_1
1,,370102,历下区,东南_0,130,风向,36.647143,,117.039189,,市博物馆,,,,,历下区,12495,东南_0
2,,370102,历下区,东_0,130,主导风向,36.665904,,117.055854,,文化东路街道办事处,,,,,历下区,15043,东_0
3,,370103,市中区,东南_1,130,风向,36.6021,,117.033,,山东鲁能,,,,,市中区,363,东南_1
4,,370103,市中区,东南_0,130,主导风向,36.64588774,,117.00005665,,二七新村街道办事处,,,,,市中区,15059,东南_0
5,,370103,市中区,东南_0,130,主导风向,36.63374801,,116.96858827,,王官庄街道办事处,,,,,市中区,15065,东南_0
6,,370104,槐荫区,东_0,130,主导风向,36.65844901,,116.97695892,,道德街街道办事处,,,,,槐荫区,15076,东_0
7,,370105,天桥区,东_1,130,主导风向,36.70351,,116.984448,,泺口路街道办事处,,,,,天桥区,15097,东_1
8,,370112,历城区,东北_1,130,主导风向,36.693999,,117.087849,,东风街道办事处,,,,,历城区,15101,东北_1
9,,370113,长清区,东南_2,130,主导风向,36.393013,,116.649031,,孝里街道办事处,,,,,长清区,15112,东南_2
10,,370116,莱芜区,西_0,130,主导风向(十六方位),36.43050232,,117.61057775,,雪野街道办事处,,,,,莱芜区,12117,西_0
11,,370124,平阴县,西_1,130,主导风向,36.11785649,,116.45013565,,孝直镇,,,,,平阴县,15145,西_1
12,,370125,济阳区,东北_0,130,风向,36.98412759,,117.18022474,,济阳区政府,,,,,济阳区,12575,东北_0
13,,370126,商河县,南_0,130,主导风向,37.407614,,117.156185,,殷巷镇,,,,,商河县,15155,南_0
14,,370126,商河县,南_1,130,主导风向,37.359965,,117.109985,,张坊镇,,,,,商河县,15165,南_1
15,,370181,章丘区,东_0,130,主导风向,36.835429,,117.3996,,白云湖街道办事处,,,,,章丘区,15139,东_0
16,,370100,济南市,北_0,130,主导风向(十六方位),36.31662461,,117.54833548,,九羊,,,,,济南,12120,北_0
17,,370102,历下区,东南_1,130,主导风向,36.670991,,117.043321,,解放路街道办事处,,,,,历下区,15040,东南_1
18,,370102,历下区,东_0,130,主导风向,36.66275051,,117.0656443,,燕山街道办事处,,,,,历下区,15048,东_0
19,,370103,市中区,东南_0,130,主导风向,36.649811,,117.004052,,四里村街道办事处,,,,,市中区,15060,东南_0
20,,370105,天桥区,东北_1,130,主导风向,36.680732,,117.004185,,天桥东街道办事处,,,,,天桥区,15087,东北_1
21,,370105,天桥区,北_0,130,主导风向,36.68549,,117.0046,,官扎营街道办事处,,,,,天桥区,15088,北_0
22,,370105,天桥区,北_1,130,主导风向,36.68121,,116.9889,,宝华街街道办事处,,,,,天桥区,15089,北_1
23,,370105,天桥区,东_0,130,主导风向,36.788414,,116.92418,,桑梓店街道办事处,,,,,天桥区,15099,东_0
24,,370112,历城区,北_1,130,主导风向,36.716339,,117.0622,,华山街道办事处,,,,,历城区,15103,北_1
25,,370112,历城区,东_1,130,主导风向,36.768058,,117.109911,,荷花路街道办事处,,,,,历城区,15104,东_1
26,,370113,长清区,南_1,130,主导风向,36.388223,,116.786262,,马山镇,,,,,长清区,15113,南_1
27,,370114,高新区,东南_0,130,风向,36.655833,,117.148889,,东城逸家小学,,,,,高新区,365,东南_0
28,,370117,钢城区,东北_0,130,主导风向(十六方位),36.13060724,,117.81912992,,里辛街道办事处,,,,,钢城区,12115,东北_0
29,,370119,莱芜高新区,西北_0,130,主导风向,36.21107997,,117.72847739,,泰兴公司,,,,,莱芜高新区,12154,西北_0
30,,370124,平阴县,西南_0,130,主导风向,36.296058,,116.4405,,锦水街道办事处,,,,,平阴县,15140,西南_0
31,,370125,济阳区,东北_2,130,风向,36.9829,,117.2181,,济阳城区,,,,,济阳区,12574,东北_2
32,,370181,章丘区,西南_1,130,主导风向,36.671298,,117.410911,,圣井街道办事处,,,,,章丘区,15121,西南_1
33,,370100,济南市,西南_1,130,风向,36.4325,,117.223056,,跑马岭,,,,,济南,371,西南_1
34,,370100,济南市,北_0,130,主导风向,36.7036,,117.1675,,炼油厂,,,,,济南,18020,北_0
35,,370102,历下区,东_0,130,风向,36.66769,,117.032885,,泉城广场,,,,,历下区,368,东_0
36,,370103,市中区,东南_1,130,主导风向,36.66683602,,117.00470463,,大观园街道办事处,,,,,市中区,15062,东南_1
